Date,Airline,Source,Destination,Dep_time,Arr_time,Durtion,Route,stop,price
01-Nov,GO FIRST,Bangalore,Delhi,06:00,11:40,05h 40m,BLR--->LKO-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,16:00,22:30,06h 30m,BLR--->IXR-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,06:30,15:00,08h 30m,BLR--->AMD-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,11:40,20:40,09h 00m,BLR--->VNS-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,08:20,17:50,09h 30m,BLR--->BOM-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,06:10,17:50,11h 40m,BLR--->BOM-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,20:20,08:05,11h 45m,BLR--->BOM-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,06:30,19:05,12h 35m,BLR--->AMD-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,08:20,21:25,13h 05m,BLR--->BOM-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,06:00,20:25,14h 25m,BLR--->LKO-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,08:20,22:45,14h 25m,BLR--->BOM-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,20:20,11:20,15h 00m,BLR--->BOM-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,06:10,21:25,15h 15m,BLR--->BOM-->DEL,1-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,08:20,23:50,15h 30m,BLR--->BOM-->DEL,1-stop,"7,487"
01-Nov,Indigo,Bangalore,Delhi,08:20,13:30,05h 10m,BLR--->NAG-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,12:20,17:35,05h 15m,BLR--->BDQ-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,07:20,12:40,05h 20m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,13:25,18:55,05h 30m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,16:25,21:55,05h 30m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,11:00,16:50,05h 50m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,14:50,20:40,05h 50m,BLR--->JAI-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,14:50,20:50,06h 00m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,18:25,00:45,06h 20m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,16:25,23:10,06h 45m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,10:00,16:50,06h 50m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,14:50,21:55,07h 05m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,13:25,20:50,07h 25m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,SpiceJet,Bangalore,Delhi,06:20,13:50,07h 30m,BLR--->MAA-->DEL,1-stop,"7,488"
01-Nov,SpiceJet,Bangalore,Delhi,09:50,17:45,07h 55m,BLR--->GOI-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,11:00,18:55,07h 55m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,08:50,16:50,08h 00m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,14:50,23:10,08h 20m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,16:25,00:45,08h 20m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,13:25,21:55,08h 30m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,10:00,18:55,08h 55m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,07:20,16:50,09h 30m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,13:25,23:10,09h 45m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,11:00,20:50,09h 50m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,08:20,18:15,09h 55m,BLR--->NAG-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,14:50,00:45,09h 55m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,08:50,18:55,10h 05m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,22:55,09:25,10h 30m,BLR--->HYD-->DEL,1-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,09:00,19:40,10h 40m,BLR--->UDR-->DEL,1-stop,"7,488"
